name,attainment
County_Durham,"2,236"
Darlington,617
Gateshead,"1,044"
Hartlepool,547
Middlesbrough,684
Newcastle_upon_Tyne,"1,309"
North_Tyneside,"1,111"
Northumberland,"1,741"
Redcar_and_Cleveland,807
South_Tyneside,773
Stockton_on_Tees,"1,097"
Sunderland,"1,317"
Blackburn_with_Darwen,"1,166"
Blackpool,569
Bolton,"1,792"
Bury,"1,303"
Cheshire_East,"2,378"
Cheshire_West_and_Chester,"1,919"
Cumbria,"2,560"
Halton,720
Knowsley,363
Lancashire,"7,233"
Liverpool,"2,370"
Manchester,"2,821"
Oldham,"1,685"
Rochdale,"1,299"
Salford,978
Sefton,"1,522"
St_Helens,866
Stockport,"1,442"
Tameside,"1,356"
Trafford,"2,129"
Warrington,"1,489"
Wigan,"1,811"
Wirral,"1,910"
Barnsley,976
Bradford,"3,034"
Calderdale,"1,432"
Doncaster,"1,351"
East_Riding_of_Yorkshire,"1,908"
"Kingston_upon_Hull,_City_of",974
Kirklees,"2,741"
Leeds,"3,984"
North_East_Lincolnshire,698
North_Lincolnshire,885
North_Yorkshire,"3,742"
Rotherham,"1,563"
Sheffield,"2,895"
Wakefield,"1,755"
York,"1,028"
Derby,"1,382"
Derbyshire,"4,011"
Leicester,"1,998"
Leicestershire,"4,150"
Lincolnshire,"4,104"
North_Northamptonshire,"1,912"
Nottingham,"1,108"
Nottinghamshire,"4,358"
Rutland,318
West_Northamptonshire,"2,343"
Birmingham,"7,569"
Coventry,"1,840"
Dudley,"1,818"
"Herefordshire,_County_of",921
Sandwell,"1,867"
Shropshire,"1,664"
Solihull,"1,829"
Staffordshire,"4,808"
Stoke_on_Trent,"1,088"
Telford_and_Wrekin,"1,070"
Walsall,"1,597"
Warwickshire,"3,412"
Wolverhampton,"1,478"
Worcestershire,"3,019"
Bedford,"1,141"
Cambridgeshire,"3,367"
Central_Bedfordshire,"1,536"
Essex,"8,436"
Hertfordshire,"8,762"
Luton,"1,592"
Norfolk,"4,135"
Peterborough,"1,221"
Southend_on_Sea,"1,409"
Suffolk,"4,019"
Thurrock,909
Barking_and_Dagenham,"1,378"
Barnet,"2,901"
Bexley,"1,896"
Brent,"2,180"
Bromley,"2,143"
Camden,"1,099"
Croydon,"2,287"
Ealing,"2,155"
Enfield,"2,222"
Greenwich,"1,414"
Hackney,"1,438"
Hammersmith_and_Fulham,968
Haringey,"1,513"
Harrow,"1,636"
Havering,"1,760"
Hillingdon,"2,088"
Hounslow,"1,941"
Islington,971
Kensington_and_Chelsea,560
Kingston_upon_Thames,"1,178"
Lambeth,"1,327"
Lewisham,"1,414"
Merton,962
Newham,"2,696"
Redbridge,"2,682"
Richmond_upon_Thames,"1,053"
Southwark,"1,735"
Sutton,"1,844"
Tower_Hamlets,"1,944"
Waltham_Forest,"1,835"
Wandsworth,"1,206"
Westminster,"1,150"
Bracknell_Forest,643
Brighton_and_Hove,"1,387"
Buckinghamshire,"4,180"
East_Sussex,"2,588"
Hampshire,"7,568"
Isle_of_Wight,553
Kent,"8,864"
Medway,"1,610"
Milton_Keynes,"1,574"
Oxfordshire,"3,587"
Portsmouth,844
Reading,663
Slough,"1,244"
Southampton,962
Surrey,"6,520"
West_Berkshire,"1,106"
West_Sussex,"4,522"
Windsor_and_Maidenhead,"1,071"
Wokingham,"1,178"
Bath_and_North_East_Somerset,"1,230"
"Bournemouth,_Christchurch_and_Poole","2,180"
"Bristol,_City_of","1,796"
Cornwall,"3,023"
Devon,"3,730"
Dorset,"2,091"
Gloucestershire,"3,784"
Isles_of_Scilly,:
North_Somerset,"1,369"
Plymouth,"1,343"
Somerset,"2,625"
South_Gloucestershire,"1,353"
Swindon,"1,057"
Torbay,814
Wiltshire,"2,835"
