,Average_class_size,Number_of_classes,Number_of_pupils
County_Durham,21.5,"1,293","27,815"
Darlington,22.1,284,"6,278"
Gateshead,22,514,"11,310"
Hartlepool,22.7,251,"5,686"
Middlesbrough,21.7,367,"7,962"
Newcastle_upon_Tyne,22,754,"16,576"
North_Tyneside,21.3,623,"13,261"
Northumberland,22.3,903,"20,144"
Redcar_and_Cleveland,23,343,"7,904"
South_Tyneside,20.8,417,"8,689"
Stockton_on_Tees,23.8,492,"11,704"
Sunderland,22.3,717,"16,021"
Blackburn_with_Darwen,22.6,493,"11,156"
Blackpool,22.3,311,"6,946"
Bolton,22,903,"19,905"
Bury,23,480,"11,058"
Cheshire_East,21.3,"1,073","22,838"
Cheshire_West_and_Chester,21.4,950,"20,290"
Cumbria,21.1,"1,357","28,693"
Halton,22.7,354,"8,025"
Knowsley,22,249,"5,466"
Lancashire,22.8,"2,993","68,127"
Liverpool,20.7,"1,450","30,020"
Manchester,22.2,"1,459","32,409"
Oldham,23.5,696,"16,374"
Rochdale,23.8,542,"12,904"
Salford,23.4,521,"12,208"
Sefton,22.2,697,"15,467"
St._Helens,21.9,485,"10,638"
Stockport,22.7,646,"14,696"
Tameside,24.1,588,"14,163"
Trafford,22.1,841,"18,584"
Warrington,23.2,557,"12,943"
Wigan,22.5,825,"18,588"
Wirral,20.6,"1,013","20,821"
Barnsley,24.1,519,"12,492"
Bradford,21.7,"1,778","38,646"
Calderdale,22.6,686,"15,518"
Doncaster,21.8,800,"17,448"
East_Riding_of_Yorkshire,22.5,826,"18,583"
"Kingston_upon_Hull,_City_of",22.7,651,"14,808"
Kirklees,23.1,"1,144","26,398"
Leeds,22.7,"2,148","48,669"
North_East_Lincolnshire,21.8,404,"8,808"
North_Lincolnshire,22.4,439,"9,852"
North_Yorkshire,21.8,"1,547","33,785"
Rotherham,21.3,829,"17,651"
Sheffield,22.9,"1,410","32,239"
Wakefield,23.5,856,"20,079"
York,22.1,480,"10,593"
Derby,22.4,763,"17,112"
Derbyshire,22.2,"1,897","42,124"
Leicester,23.3,941,"21,886"
Leicestershire,24,"1,693","40,639"
Lincolnshire,21.2,"2,136","45,278"
North_Northamptonshire,22.2,966,"21,468"
Nottingham,21.7,775,"16,822"
Nottinghamshire,21.9,"2,174","47,610"
Rutland,23.4,124,"2,905"
West_Northamptonshire,22.6,"1,193","26,967"
Birmingham,22.4,"3,508","78,705"
Coventry,22.3,988,"22,069"
Dudley,23.2,760,"17,669"
"Herefordshire,_County_of",22.6,399,"9,030"
Sandwell,21.9,"1,038","22,772"
Shropshire,22,694,"15,270"
Solihull,22.1,764,"16,895"
Staffordshire,22.4,"2,325","52,100"
Stoke_on_Trent,23.2,621,"14,432"
Telford_and_Wrekin,20.7,609,"12,614"
Walsall,21.5,977,"21,014"
Warwickshire,22.5,"1,599","35,972"
Wolverhampton,21.1,886,"18,656"
Worcestershire,21.9,"1,619","35,390"
Bedford,21.7,560,"12,146"
Cambridgeshire,22,"1,512","33,196"
