,Total,White_British,First_language_is_known_or_believed_to_be_English,Known_to_be_eligible_for_free_school_meals
County_Durham,"76,409","69,576","72,332","21,658"
Darlington,"16,316","13,786","14,951","4,175"
Gateshead,"30,432","24,214","26,053","7,582"
Hartlepool,"15,299","14,043","14,569","5,487"
Middlesbrough,"25,484","17,923","20,918","9,719"
Newcastle_upon_Tyne,"46,300","26,862","31,613","16,381"
North_Tyneside,"31,362","27,797","29,801","7,581"
Northumberland,"46,190","42,628","44,617","9,508"
Redcar_and_Cleveland,"21,679","20,158","21,134","6,198"
South_Tyneside,"22,777","20,299","21,471","6,880"
Stockton_on_Tees,"34,228","27,676","30,072","8,458"
Sunderland,"41,715","36,896","38,988","12,135"
Blackburn_with_Darwen,"29,801","11,876","17,551","6,751"
Blackpool,"19,811","16,957","18,090","7,980"
Bolton,"56,334","29,697","37,649","13,202"
Bury,"31,253","20,319","24,230","6,447"
Cheshire_East,"59,388","47,554","51,698","8,301"
Cheshire_West_and_Chester,"55,534","45,373","48,439","9,470"
Cumbria,"72,791","64,422","67,988","11,635"
Halton,"19,318","17,544","18,490","7,186"
Knowsley,"21,296","19,006","20,047","8,342"
Lancashire,"186,167","137,795","156,200","38,520"
Liverpool,"77,939","53,493","62,808","24,838"
Manchester,"97,608","29,591","52,120","37,526"
Oldham,"47,169","23,152","31,040","13,371"
Rochdale,"38,174","21,344","27,772","10,970"
Salford,"43,296","25,045","30,166","12,463"
Sefton,"42,576","35,921","37,869","9,345"
St_Helens,"27,756","24,907","26,065","6,877"
Stockport,"47,995","33,992","38,800","8,135"
Tameside,"37,672","27,577","31,389","10,818"
Trafford,"45,253","25,992","34,946","6,378"
Warrington,"32,820","26,935","29,263","6,545"
Wigan,"48,296","42,274","44,652","12,257"
Wirral,"52,418","45,685","48,719","13,871"
Barnsley,"35,271","31,428","32,582","9,593"
Bradford,"104,563","40,577","65,254","27,475"
Calderdale,"37,935","26,365","31,361","8,709"
Doncaster,"48,728","38,629","42,088","12,846"
East_Riding_of_Yorkshire,"47,426","41,830","43,929","8,600"
"Kingston_upon_Hull,_City_of","43,894","32,886","35,521","13,332"
Kirklees,"69,437","37,820","51,304","16,940"
Leeds,"134,335","79,847","102,721","32,894"
North_East_Lincolnshire,"24,755","21,409","22,671","7,175"
North_Lincolnshire,"25,251","20,506","21,889","6,545"
North_Yorkshire,"89,102","73,719","78,632","12,767"
Rotherham,"45,424","36,247","40,373","11,390"
Sheffield,"86,283","50,144","64,969","26,083"
Wakefield,"57,921","44,701","48,494","12,226"
York,"28,065","21,603","23,565","3,694"
Derby,"45,639","23,859","32,598","12,844"
Derbyshire,"113,311","99,143","105,837","27,006"
Leicester,"61,648","13,890","26,748","14,772"
Leicestershire,"107,267","78,659","92,516","14,171"
Lincolnshire,"112,755","89,817","97,096","24,902"
North_Northamptonshire,"58,211","40,363","46,770","9,935"
Nottingham,"51,016","19,730","32,819","17,046"
Nottinghamshire,"127,788","102,099","114,917","25,021"
Rutland,"8,063","5,261","5,724",579
